,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
10,¿Qué valor tienen los usos y costumbres?,"usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa."," Los usos y costumbres solo son aplicables en ausencia de disposiciones legales, convencionales o contractuales, salvo que cuenten con una recepción o remisión expresa. Los derechos laborales básicos de los trabajadores incluyen la libertad de asociarse en sindicatos reconocidos como más representativos a nivel estatal, así como la consulta previa antes de tomar decisiones que afecten significativamente al empleo de cien a trescientos trabajadores o más en una empresa. Esta consulta debe versar sobre las causas motivadoras de la decisión empresarial y la posibilidad de evitar o reducir sus efectos, así como sobre las medidas necesarias para atenuar sus consecuencias para los trabajadores afectados. La comisión negociadora está integrada por un máximo de trece miembros en representación de cada una de las partes.",0.29,0.22,0.26,0.26,0.54517305,0.94
11,¿Son renunciables los derechos laborales reconocidos? ¿Se puede disponer de los derechos del trabajador? ¿Se puede compensar económicamente los derechos de los trabajadores? ¿Podrán renunciar de alguno de sus derechos los trabajadores?," trabajadores no podrán disponer válidamente 
derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo.","1. Los derechos laborales son reconocidos y no son renunciables, excepto aquellos que están declarados como relación laboral de carácter especial por ley. Los trabajadores no pueden disponer de dichos derechos antes o después de su adquisición.
2. No se puede disponer de los derechos del trabajador, ya que los usos y costumbres solo se aplican en defecto de disposiciones legales, convencionales o contractuales.
3. Se puede compensar económicamente a los trabajadores, como por ejemplo en las gratificaciones extraordinarias.
4. No se pueden renunciar de ninguno de sus derechos laborales reconocidos, ya que están protegidos y reglamentados por la Constitución y la ley.
5. En casos donde hay conflicto entre diferentes normas laborales, lo que es más favorable para el trabajador deberá aplicarse.
6. La regulación de las relaciones laborales debe respetar los derechos básicos reconocidos por la Constitución en todos los supuestos señalados.
7. Las gratificaciones extraordinarias se otorgan al trabajador dos veces al año, una de ellas con ocasión de las fiestas de Navidad y la otra en el mes que se fije por convenio colectivo o por acuerdo entre el empresario y los representantes legales de los trabajadores.",0.18,0.07,0.15,0.12,0.6194812,0.95
12,¿Cuáles son los derechos laborales básicos? ¿Cuáles son los derechos básicos del trabajador?,"a) Trabajo y libre elección de profesión u oficio.
b) Libre sindicación.
c) Negociación colectiva.
d) Adopción de medidas de conflicto colectivo.
e) Huelga.
f) Reunión.
g) Información, consulta y participación en la empresa.
"," Los derechos laborales básicos son aquellos reconocidos por las disposiciones legales de derecho necesario, y cuyo contenido y alcance debe ser adecuado para que los trabajadores desarrollen sus actividades y comunicarse con otros trabajadores. Otros derechos importantes incluyen: el derecho a un tablón de anuncios, la representación legal de los trabajadores en las empresas contratistas y subcontratistas que comparten un centro de trabajo, y los derechos reconocidos por convenios colectivos (sin poder ser dispuestos por el trabajador). En caso de conflictos entre diferentes normas laborales, se aplicará lo más favorable para el trabajador. Los usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales.",0.21,0.05,0.13,0.06,0.48045287,0.84
13,¿Cuáles son los derechos laborales del trabajador en relación con el trabajo? ¿Qué derechos laborales son reclamables por el trabajador?,"
a) A la ocupación efectiva.
b) A la promoción y formación profesional en el trabajo, i
c) A no ser discriminados directa o indirectamente para el empleo, 
d) A su integridad física y a una adecuada política de prevención de riesgos laborales.
e) Al respeto de su intimidad y a la consideración debida a su dignidad, 
f) A la percepción puntual de la remuneración pactada o legalmente establecida.
g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo.
h) A cuantos otros se deriven específicamente del contrato de trabajo.
"," Los derechos laborales relacionados con el trabajo son:

1. Realizar su trabajo total o parcialmente a distancia si esto es compatible con su puesto y funciones, según lo establecido en los convenios colectivos o acuerdos entre la empresa y los representantes legales de las personas trabajadoras.
2. Ausentarse del trabajo por causa de fuerza mayor, siempre que se registren las reglas establecidas en el apartado anterior sobre la concreción de este derecho.",0.28,0.05,0.15,0.13,0.33126554,0.93
14, ¿Cuáles son los deberes laborales de los trabajadores? ¿Cuáles son las obligaciones de los trabajadores? ¿Qué es exigible por parte del trabajador? ,"a) Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
b) Observar las medidas de prevención de riesgos laborales que se adopten.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se deriven, en su caso, de los respectivos contratos de trabajo.
"," Los trabajadores tienen como deberes básicos cumplir con las obligaciones de su puesto de trabajo, observar las medidas de prevención de riesgos laborales, cumplir las órdenes y instrucciones del empresario en el ejercicio regular de sus facultades directivas, no concurrir con la actividad de la empresa, contribuir a la mejora de la productividad y cualquier otro trabajo que sea declarado como relación laboral de carácter especial por una ley. También tienen obligaciones específicas según los contratos individuales. Además, la regulación de estas relaciones laborales respetará los derechos básicos reconocidos por la Constitución.

Otras fuentes de la relación laboral son: intervener en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas, prestar servicios en los centros especiales de empleo para personas con discapacidad, prestar servicios en despachos de abogados, entre otros.",0.54,0.35,0.42,0.28,0.6256516,0.97
15,¿Cuál es la edad mínima para trabajar?,Se prohíbe la admisión al trabajo a los menores de dieciséis años.,15 años es la edad mínima para trabajar según el contexto proporcionado.,0.26,0.07,0.13,0.08,0.362567,0.94
16,¿Qué restricciones tienen los mayores de 16 años y menores de 18 años?,"2. Los trabajadores menores de dieciocho años no podrán realizar trabajos nocturnos ni aquellas actividades o puestos de trabajo respecto a los que se establezcan limitaciones a su contratación 
3. Se prohíbe realizar horas extraordinarias a los menores de dieciocho años.
"," Los mayores de 16 años pueden votar cuando cumplen 16 años y son elegibles cuando tienen 18 años. Para ser electoras o electos, deben contar con una antigüedad en la empresa de al menos veinte días. En los órganos de representación de las asociaciones se debe aplicar el principio de representación paritaria y presencia equilibrada entre mujeres y hombres, sin que ningún sexo supere el sesenta por ciento ni sea menos del cuarenta por ciento.
   Los menores de 16 años no pueden trabajar. Los menores de 18 años no pueden realizar trabajos nocturnos o actividades o puestos de trabajo respecto a los que se establezcan limitaciones conforme a la Ley 31/1995, de prevención de Riesgos Laborales. También no pueden realizarse horas extraordinarias y solo podrán participar en espectáculos públicos excepcionalmente por autoridad laboral siempre que no suponga peligro para su salud ni para su formación profesional. Tienen derecho a efectuar solicitud de conciliación de vida familiar y laboral hasta que sus hijos o hijas cumplan doce años, o si tienen necesidades de cuidado respecto a los hijos mayores de doce años, cónyuge o pareja de hecho, familiares por consanguinidad hasta el segundo grado, así como otras personas especificadas.",0.27,0.17,0.23,0.21,0.5360613,0.95
17,¿Pueden los menores de 16 años intervenir en espectáculos públicos?,"solo se autorizará en casos excepcionales por la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana.
deberá constar por escrito ","Los menores de 16 años no pueden participar en espectáculos públicos generalmente, excepto en casos excepcionales autorizados por la autoridad laboral.",0.3,0.19,0.26,0.28,0.4415529,0.94
18,¿Quién tiene capacidad para contratar la prestación de su trabajo?,"a) Quienes tengan plena capacidad de obrar 
b) Los menores de dieciocho y mayores de dieciséis años, que vivan de forma independiente, con consentimiento de sus padres o tutores, o con autorización de la persona o institución que les tenga a su cargo.
c) Los extranjeros, de acuerdo con lo dispuesto en la legislación específica sobre la materia.
"," La capacidad para contratar la prestación de su trabajo la tienen las personas trabajadoras en relación con sus necesidades familiares o laborales. Esta solicitud puede ser hecha hasta que los hijos o hijas cumplan doce años, y también por aquellas que cuidan a sus familiares mayores de doce años, así como de otros familiares de segundo grado o más. Todo esto se refiere al derecho a la conciliación de vida familiar y laboral.",0.4,0.04,0.19,0.2,0.22971964,0.96
19,¿Puede ser verbal un contrato de trabajo?, El contrato de trabajo se podrá celebrar por escrito o de palabra.  ,"¡Sí! Un contrato de trabajo puede ser verbal, pero es recomendable hacerlo en escritura. Existen diferentes causas para la suspensión del contrato de trabajo, entre ellas el acuerdo mutuo de las partes, las condiciones estipuladas en el mismo, imposibilidad de la prestación y otras razones especificadas en la legislación laboral. La extinción del contrato se puede hacer constar en una comunicación escrita y debe darse plazo de preaviso de quince días, según lo establecido en la legislación laboral.",0.12,0.04,0.1,0.09,0.5869696,0.91
20,¿Qué contratos tienen que estar por escrito obligatoriamente?,"cuando así lo exija una disposición legal y, en todo caso, los de prácticas y para la formación y el aprendizaje, los contratos a tiempo parcial, fijos-discontinuos y de relevo, los contratos para la realización de una obra o servicio determinado, los de los trabajadores que trabajen a distancia y los contratados en España al servicio de empresas españolas en el extranjero. 
los contratos por tiempo determinado cuya duración sea superior a cuatro semanas. De no observarse tal exigencia, el contrato se presumirá celebrado por tiempo indefinido y a jornada completa, salvo prueba en contrario "," Los contratos de trabajo de menores de edad (menores de 16 años) y aquellos que involucran trabajos nocturnos, actividades o puestos de trabajo con restricciones establecidas por la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales y en las normas reglamentarias aplicables, tienen que estar obligatoriamente por escrito.",0.23,0.04,0.17,0.11,0.4145696,0.95
21,¿Debe comunicar el empresario la contratación de un trabajador?,"El empresario está obligado a comunicar a la oficina pública de empleo, en el plazo de los diez días siguientes a su concertación "," El empresario debe comunicar la contratación de un trabajador al comité de empresa o delegados de personal previo a la fecha de inicio del trabajo. También debe informar a las otras empresas compartiendo el mismo centro de trabajo. Si se produce una situación de despido, la extinción del contrato debe acompañarse de una propuesta de liquidación de las cantidades adeudadas y el trabajador tiene derecho a solicitar la presencia de un representante legal de los trabajadores al momento de firmar el recibo del finiquito.",0.21,0.05,0.16,0.15,0.61736834,0.94
22,¿Es obligatorio entregar una copia básica de los contratos a los trabajadores?,"El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección","¡Si! Es obligatorio entregar una copia básica de los contratos a los trabajadores, según lo establecido en la Ley laboral.",0.46,0.24,0.39,0.3,0.6625455,0.93
23,¿Cuáles son los efectos de la nulidad de un contrato de trabajo?,"Si resultase nula solo una parte del contrato de trabajo, este permanecerá válido en lo restante, y se entenderá completado con los preceptos jurídicos adecuados conforme a lo dispuesto en el artículo 3.1.
En caso de que el contrato resultase nulo, el trabajador podrá exigir, por el trabajo que ya hubiese prestado, la remuneración consiguiente a un contrato válido.
","1. El contrato formativo nulo no computará su duración para efectos de antigüedad en la empresa.
2. Los contratos formativos celebrados en fraude de ley o sin cumplimiento de las obligaciones formativas se entenderán como contratos indefinidos de carácter ordinario.
3. Reglamentariamente, se establecerán requisitos para la celebración de los contratos formativos, tales como el número de contratos por tamaño de centro de trabajo, las personas en formación por tutor o tutora, y las exigencias en relación con la estabilidad de la plantilla.
4. Si una extinción de contrato formativo es inferior a los umbrales establecidos y no hay causas nuevas justificativas, se considerará efectuada en fraude de ley y será declarada nula y sin efecto.
5. El despido colectivo debe precederse de un período de consulta con los representantes legales de los trabajadores. El término de esta consulta no puede superar los 30 días en la mayoría de las empresas, y 15 días para las empresas con menos de 50 empleados. La consulta debe versar sobre posibilidades de evitar o reducir los despidos colectivos y atenuar sus consecuencias mediante medidas sociales de acompañamiento como medidas de recolocación, acciones de formación o reciclaje profesional para mejorar la empleabilidad. La consulta se llevará a cabo en una única comisión negociadora.",0.21,0.03,0.11,0.12,0.54680216,0.91
24,¿Qué obligaciones genera al empresario un trabajo en común?,"conservará respecto de cada uno, individualmente, sus derechos y deberes."," Los obligaciones del empresario en un trabajo en común incluyen la divulgación de información relacionada con la actividad laboral y la cooperar en reuniones con el comité de empresa para discutir cuestiones indicadas. Sin embargo, no se le obliga a revelar secretos industriales, financieros o comerciales que pudieran obstaculizar la estabilidad económica de la empresa. El comité debe poder conocer el criterio del empresario antes de adoptar o ejecutar decisiones y deberá emitir informes en un plazo máximo de 15 días.",0.06,0.02,0.06,0.04,0.42234305,0.9
25,¿Qué efectos despliega un contrato con un grupo de trabajadores?,"no tendrá frente a cada uno de sus miembros los derechos y deberes que como tal le competen. El jefe del grupo ostentará la representación de los que lo integren, respondiendo de las obligaciones inherentes a dicha representación."," Un contrato con un grupo de trabajadores despliega los siguientes efectos:
    - Tiene que ir precedido de una consulta con los representantes legales de los trabajadores, durando máximo 30 días en empresas mayores a 50 trabajadores y 15 días en menores.
    - La consulta debe verse sobre las posibilidades de evitar o reducir los despidos colectivos, así como atenuar sus consecuencias mediante el recurso a medidas sociales de acompañamiento.
    - Las nuevas extinciones se considerarán nulas y sin efecto si no cumple ciertos umbrales y no hay causas nuevas que justifiquen tal actuación.",0.29,0.01,0.13,0.17,0.27312502,0.96
26,¿Con quién se puede concertar un contrato en prácticas?,"con quienes estuvieren en posesión de título universitario o de formación profesional de grado medio o superior o títulos oficialmente reconocidos como equivalentes,","1. Se pueden celebrar contratos de prácticas con personas que no cumplen con las titulaciones o certificados requeridos para un contrato formativo de obtención de práctica profesional regulada en apartado 3, siempre que no hayan tenido otro contrato previo en la misma formación y sector productivo.
2. Si el contrato se suscribe en certificados de profesionalidad nivel 1 y 2 o programas públicos/privados de formación en alternancia de empleo-formación, que pertenezcan al Catálogo de especialidades formativas del Sistema Nacional de Empleo, el contrato se podrá celebrar con personas hasta los 30 años.
3. La actividad desempeñada por la persona trabajadora en la empresa deberá estar regulada por lo establecido en apartado 3 de las normas pertinentes.",0.14,0.04,0.12,0.09,0.5523006,0.92
27,¿Cuáles son las especificidades de un contrato en prácticas? ¿Cuáles son las reglas del contrato en prácticas?,"a) El puesto de trabajo deberá permitir la obtención de la práctica profesional adecuada al nivel de estudios o de formación cursados. 
b) La duración del contrato no podrá ser inferior a seis meses ni exceder de dos años, dentro de cuyos límites los convenios colectivos de ámbito sectorial estatal o, en su defecto, los convenios colectivos sectoriales de ámbito inferior podrán determinar la duración del contrato, atendiendo a las características del sector y de las prácticas a realizar.
c) Ningún trabajador podrá estar contratado en prácticas en la misma o distinta empresa por tiempo superior a dos años en virtud de la misma titulación o certificado de profesionalidad.
d) Salvo lo dispuesto en convenio colectivo, el periodo de prueba no podrá ser superior a un mes para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado medio o de certificado de profesionalidad de nivel 1 o 2, ni a dos meses para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado superior o de certificado de profesionalidad de nivel 3.

e) La retribución del trabajador será la fijada en convenio colectivo para los trabajadores en prácticas, sin que, en su defecto, pueda ser inferior al sesenta o al setenta y cinco por ciento durante el primero o el segundo año de vigencia del contrato, respectivamente, del salario fijado en convenio para un trabajador que desempeñe el mismo o equivalente puesto de trabajo.

f) Si al término del contrato el trabajador continuase en la empresa no podrá concertarse un nuevo periodo de prueba, computándose la duración de las prácticas a efecto de antigüedad en la empresa.
","1. Los contratos de prácticas (o contratos formativos) se reglamentan y tienen especificidades en cuanto a la duración, los requisitos para su celebración y las posibilidades de prolongarlos o pasar a un contrato indefinido.
2. Al terminar el contrato de prácticas, si la persona continúa en la empresa no podrá concertarse un nuevo periodo de prueba y se computará su duración a efectos de antigüedad en la empresa.
3. Los contratos formativos celebrados en fraude de ley o aquellos en los que la empresa incumpla sus obligaciones serán considerados como contratos indefinidos de carácter ordinario.
4. Reglamentariamente, se establecerán requisitos para la celebración de los contratos formativos, tales como el número de contratos por tamaño de centro de trabajo, las personas en formación por tutor o tutora, y las exigencias en relación con la estabilidad de la plantilla. Estas regulaciones se establecen previa consulta con las administraciones competentes en la formación objeto de realización mediante contratos formativos.",0.44,0.13,0.2,0.15,0.6248653,0.97
28,¿Qué es un contrato para la formación y el aprendizaje?, tendrá por objeto la cualificación profesional de los trabajadores en un régimen de alternancia de actividad laboral retribuida en una empresa con actividad formativa recibida en el marco del sistema de formación profesional para el empleo o del sistema educativo. ," Un contrato para la formación y el aprendizaje es un acuerdo entre una persona y una entidad educativa o empresarial que proporciona formación profesional específica en áreas como la digitalización, innovación o sostenibilidad. Este contrato también puede incluyen microacreditaciones de los sistemas de formación profesional o universitaria.
Las normas comunes de este contrato incluyen la cobertura de Seguridad Social completa y la protección contra contingencias como el desempleo y el Fondo de Garantía Salarial. También proporciona protecciones en caso de incapacidad temporal, nacimiento, adopción, guarda con fines de adopción, acogimiento, riesgo durante el embarazo, riesgo durante la lactancia, violencia de género y otros. El contrato debe formalizarse por escrito de conformidad con las normas establecidas para contratos de formación profesional.",0.25,0.07,0.16,0.16,0.41769087,0.94
29,¿Cuáles son las reglas por las que se rige el contrato para la formación y el aprendizaje?,"a) Se podrá celebrar con trabajadores mayores de dieciséis y menores de veinticinco años que carezcan de la cualificación profesional reconocida por el sistema de formación profesional para el empleo o del sistema educativo requerida para concertar un contrato en prácticas. 
El límite máximo de edad no será de aplicación cuando el contrato se concierte con personas con discapacidad ni con los colectivos en situación de exclusión social 
b) La duración mínima del contrato será de un año y la máxima de tres. No obstante, mediante convenio colectivo podrán establecerse distintas duraciones del contrato,
En caso de que el contrato se hubiera concertado por una duración inferior a la máxima legal o convencionalmente establecida, podrá prorrogarse mediante acuerdo de las partes, hasta por dos veces, sin que la duración de cada prórroga pueda ser inferior a seis meses y sin que la duración total del contrato pueda exceder de dicha duración máxima.

","1. Pueden celebrarse contratos para la formación y el aprendizaje sin necesidad de tener una certificación profesional reconocida, salvo que se trate del apartado 3.
2. Se podrán realizar contratos en estudios de formación profesional o universitaria siempre que la persona no haya tenido otro contrato formativo previo en la misma formación y sector productivo.
3. Para los contratos vinculados a certificados de profesionalidad de nivel 1 y 2, y programas de formación en alternancia de empleo-formación que forman parte del Catálogo de especialidades formativas del Sistema Nacional de Empleo, solo se podrán celebrar con personas hasta treinta años.
4. La actividad desempleada por la persona trabajadora debe estar relacionada con el sector productivo específico establecido en el contrato.",0.45,0.09,0.2,0.19,0.53053445,0.98
30,¿Qué se entiende por contrato a tiempo parcial?," cuando se haya acordado la prestación de servicios durante un número de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.
se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. "," El contrato a tiempo parcial es un acuerdo laboral que se celebra cuando se ha acordado la prestación de servicios durante un número de horas al día, semana, mes o año inferior a la jornada laboral de un trabajador a tiempo completo comparable. Se puede celebrar por tiempo indefinido o por duración determinada en los supuestos en que legalmente se permita la utilización de esta modalidad de contratación. El contrato debe formalizarse necesariamente por escrito y figurar el número de horas ordinarias.",0.57,0.35,0.49,0.36,0.7879501,0.97
31,¿Durante cuánto tiempo puede concertarse un contrato a tiempo parcial?,"podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita 
excepto en el contrato para la formación y el aprendizaje."," El contrato a tiempo parcial puede durar cualquier número de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable. Sin embargo, no hay una duración máxima establecida para este contrato en el contexto proporcionado.",0.26,0.07,0.14,0.21,0.5327317,0.96
32,¿Cuándo se entiende que el contrato a tiempo parcial se celebra por tiempo indefinido?,cuando se concierte para realizar trabajos fijos y periódicos dentro del volumen normal de actividad de la empresa.," La duración del contrato de relevo en un trabajador jubilado parcial que celebra un contrato a tiempo parcial puede ser indefinida o anual. En caso de que sea anual, el contrato se prorrogará automáticamente por periodos anuales, extinguiéndose al finalizar el periodo correspondiente al año en que se produzca la jubilación total del trabajador relevado. Si el contrato es a tiempo parcial, debe ser, como mínimo, igual a la reducción de jornada acordada por el trabajador y el empleador.",0.11,0.0,0.08,0.1,0.5621719,0.9
