,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
10,¿Qué valor tienen los usos y costumbres?,"usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa.","Los usos y costumbres tienen valor como una fuente de derecho que se puede aplicar en defecto de disposiciones legales, convencionales o contractuales, siempre y cuando exista una recepción o remisión expresa. En otras palabras, son reglas generales que se siguen en lugar de las normas específicas en un contrato o ley, pero solo si no hay una especificación explícita.",0.52,0.33,0.43,0.45,0.6346839,0.98
11,¿Son renunciables los derechos laborales reconocidos? ¿Se puede disponer de los derechos del trabajador? ¿Se puede compensar económicamente los derechos de los trabajadores? ¿Podrán renunciar de alguno de sus derechos los trabajadores?," trabajadores no podrán disponer válidamente 
derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo.","No sé si se pueden disponer de los derechos laborales reconocidos. De acuerdo con el artículo 5, los trabajadores no podrán disponer válidamente, antes o después de su adquisición, de los derechos que tengan reconocidos por disposiciones legales de derecho necesario.",0.59,0.45,0.44,0.43,0.72347856,0.98
12,¿Cuáles son los derechos laborales básicos? ¿Cuáles son los derechos básicos del trabajador?,"a) Trabajo y libre elección de profesión u oficio.
b) Libre sindicación.
c) Negociación colectiva.
d) Adopción de medidas de conflicto colectivo.
e) Huelga.
f) Reunión.
g) Información, consulta y participación en la empresa.
","Los derechos laborales básicos que tienen los trabajadores según la ley son:

1. Derecho a desarrollar sus actividades de manera adecuada.
2. Derecho a comunicarse con los demás trabajadores.
3. Derecho a utilizar tablones de anuncios para publicar notificaciones y avisos.

Estos derechos están garantizados por el ordenamiento legal y no pueden ser dispensados o limitados sin autorización expresa.",0.19,0.0,0.13,0.06,0.28622234,0.81
13,¿Cuáles son los derechos laborales del trabajador en relación con el trabajo? ¿Qué derechos laborales son reclamables por el trabajador?,"
a) A la ocupación efectiva.
b) A la promoción y formación profesional en el trabajo, i
c) A no ser discriminados directa o indirectamente para el empleo, 
d) A su integridad física y a una adecuada política de prevención de riesgos laborales.
e) Al respeto de su intimidad y a la consideración debida a su dignidad, 
f) A la percepción puntual de la remuneración pactada o legalmente establecida.
g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo.
h) A cuantos otros se deriven específicamente del contrato de trabajo.
","No tengo una respuesta clara sobre los derechos laborales específicos mencionados en el texto proporcionado. Sin embargo, puedo proporcionar algunos derechos laborales generales que suelen ser reclamables por los trabajadores:

1. Derecho a trabajar en un ambiente seguro y saludable.
2. Derecho a recibir un salario justo y a tiempo completo.
3. Derecho a tomar descansos y vacaciones regulares.
4. Derecho a elegir entre diferentes formatos de trabajo, como el trabajo remoto o flexible.
5. Derecho a ausentarse del trabajo por causa de fuerza mayor o enfermedad.
6. Derecho a recibir capacitación y formación profesional.
7. Derecho a participar en la toma de decisiones sobre la empresa y sus políticas.

Es importante tener en cuenta que los derechos laborales pueden variar según el país, la región o la empresa, por lo que es recomendable consultar las leyes locales o los convenios colectivos para obtener información más precisa.",0.33,0.07,0.15,0.12,0.4450889,0.96
14, ¿Cuáles son los deberes laborales de los trabajadores? ¿Cuáles son las obligaciones de los trabajadores? ¿Qué es exigible por parte del trabajador? ,"a) Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
b) Observar las medidas de prevención de riesgos laborales que se adopten.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se deriven, en su caso, de los respectivos contratos de trabajo.
","Según el artículo 5, los deberes laborales de los trabajadores son:

a) Cumplir con las obligaciones concretas de su puesto de trabajo.
b) Observar las medidas de prevención de riesgos laborales.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.

No tengo información adicional sobre las obligaciones o requisitos que se deriven del contrato de trabajo.",0.78,0.72,0.74,0.54,0.73967737,0.99
15,¿Cuál es la edad mínima para trabajar?,Se prohíbe la admisión al trabajo a los menores de dieciséis años.,"No tengo información específica sobre la edad mínima para trabajar con antelación mínima de quince días. Sin embargo, en general, la edad mínima para trabajar varía según el país y la jurisdicción, pero en muchos casos es de 16 años. Si necesitas más información detallada o específica, no puedo proporcionarla sin más contexto.",0.14,0.02,0.14,0.09,0.47310266,0.93
16,¿Qué restricciones tienen los mayores de 16 años y menores de 18 años?,"2. Los trabajadores menores de dieciocho años no podrán realizar trabajos nocturnos ni aquellas actividades o puestos de trabajo respecto a los que se establezcan limitaciones a su contratación 
3. Se prohíbe realizar horas extraordinarias a los menores de dieciocho años.
","Según el artículo 6 del contrato de trabajo, los menores de dieciséis años no pueden ser admitidos al trabajo. En cuanto a los mayores de 16 años y menores de 18 años:

*   Son elegibles para votar cuando cumplan 16 años.
*   No son elegibles para votar hasta que cumplen 18 años.
*   Si cuentan con una antigüedad en la empresa de al menos 20 días, pueden ser contratados.",0.31,0.13,0.23,0.15,0.47130147,0.96
17,¿Pueden los menores de 16 años intervenir en espectáculos públicos?,"solo se autorizará en casos excepcionales por la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana.
deberá constar por escrito ","Según el artículo 6, la intervención de menores de 16 años en espectáculos públicos solo está autorizada en casos excepcionales por la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana. El permiso debe constar por escrito y ser específico.",0.63,0.57,0.63,0.6,0.68739957,0.98
18,¿Quién tiene capacidad para contratar la prestación de su trabajo?,"a) Quienes tengan plena capacidad de obrar 
b) Los menores de dieciocho y mayores de dieciséis años, que vivan de forma independiente, con consentimiento de sus padres o tutores, o con autorización de la persona o institución que les tenga a su cargo.
c) Los extranjeros, de acuerdo con lo dispuesto en la legislación específica sobre la materia.
","La capacidad para contratar la prestación de su trabajo se reserva al propio trabajador y a los siguientes:

*   El cónyuge o pareja de hecho.
*   Familiares por consanguinidad hasta el segundo grado de la persona trabajadora.",0.3,0.06,0.16,0.17,0.12742364,0.94
19,¿Puede ser verbal un contrato de trabajo?, El contrato de trabajo se podrá celebrar por escrito o de palabra.  ,"No sé si un contrato de trabajo puede ser verbal, ya que el artículo 45 menciona varias causas legales para la suspensión del contrato y no menciona la naturaleza verbal del contrato como causa. Es posible que un contrato de trabajo deba estar registrado en un libro o documento formal para ser considerado válido según la ley.",0.16,0.06,0.14,0.14,0.617314,0.92
20,¿Qué contratos tienen que estar por escrito obligatoriamente?,"cuando así lo exija una disposición legal y, en todo caso, los de prácticas y para la formación y el aprendizaje, los contratos a tiempo parcial, fijos-discontinuos y de relevo, los contratos para la realización de una obra o servicio determinado, los de los trabajadores que trabajen a distancia y los contratados en España al servicio de empresas españolas en el extranjero. 
los contratos por tiempo determinado cuya duración sea superior a cuatro semanas. De no observarse tal exigencia, el contrato se presumirá celebrado por tiempo indefinido y a jornada completa, salvo prueba en contrario ","Según el artículo 7 del contrato de trabajo, los siguientes pueden contratar la prestación de su trabajo:

- Empleados suyos o terceros.",0.14,0.02,0.14,0.1,0.4278278,0.93
21,¿Debe comunicar el empresario la contratación de un trabajador?,"El empresario está obligado a comunicar a la oficina pública de empleo, en el plazo de los diez días siguientes a su concertación ","No sabes. La pregunta no indica si el empresario debe comunicar la contratación de un trabajador a sus empleados, pero sí requiere información sobre cómo se hace el pago. Sin embargo, en cuanto a la comunicación de la contratación, no hay una respuesta clara en el texto proporcionado.",0.28,0.08,0.2,0.2,0.49822772,0.96
22,¿Es obligatorio entregar una copia básica de los contratos a los trabajadores?,"El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección",No sé si es obligatorio entregar una copia básica de los contratos a los trabajadores. La legislación específica en este aspecto no ha sido mencionada en el contexto proporcionado.,0.39,0.2,0.31,0.22,0.5173988,0.95
23,¿Cuáles son los efectos de la nulidad de un contrato de trabajo?,"Si resultase nula solo una parte del contrato de trabajo, este permanecerá válido en lo restante, y se entenderá completado con los preceptos jurídicos adecuados conforme a lo dispuesto en el artículo 3.1.
En caso de que el contrato resultase nulo, el trabajador podrá exigir, por el trabajo que ya hubiese prestado, la remuneración consiguiente a un contrato válido.
","La nulidad de un contrato de trabajo puede tener los siguientes efectos:

* Si al término del contrato la persona continuase en la empresa, no podrá concertarse un nuevo periodo de prueba (g).
* Los contratos formativos celebrados en fraude de ley o aquellos respecto de los cuáles la empresa incumpla sus obligaciones formativas se entenderán concertados como contratos indefinidos de carácter ordinario (h).
* Se considerarán nulas y sin efecto las nuevas extinciones de contrato, si se producen en fraude de ley y sin causas nuevas que justifiquen tal actuación (i).

No tengo información sobre los requisitos que deben cumplirse para la celebración de contratos formativos, salvo lo establecido en el artículo 52.c) en un número inferior a los umbrales señalados.",0.28,0.08,0.16,0.19,0.502428,0.95
24,¿Qué obligaciones genera al empresario un trabajo en común?,"conservará respecto de cada uno, individualmente, sus derechos y deberes.","Un empresario tiene obligaciones para con el comité de empresa, independientemente del lugar donde se encuentren. Estas obligaciones incluyen:

* Reunirse con los trabajadores que solicitan una consulta para informar sobre determinadas cuestiones.
* Emitir informes en un plazo máximo de 15 días desde la solicitud.
* Cumplir con las normas vigentes en materia laboral.
* No comunicar información específica relacionada con secretos industriales, financieros o comerciales que puedan obstaculizar el funcionamiento de la empresa o causar perjuicios graves en su estabilidad económica.",0.02,0.0,0.02,0.02,0.30529836,0.89
25,¿Qué efectos despliega un contrato con un grupo de trabajadores?,"no tendrá frente a cada uno de sus miembros los derechos y deberes que como tal le competen. El jefe del grupo ostentará la representación de los que lo integren, respondiendo de las obligaciones inherentes a dicha representación.","Un contrato con un grupo de trabajadores puede desplegar varios efectos, como:

*   Extinción de contratos individuales o colectivos en fraude de ley si se celebran bajo condiciones que no cumplan con los umbrales señalados y sin nuevas causas justificando tal actuación.
*   Implicaciones legales para el empleador, ya que las nuevas extinciones de contratos tendrán carácter nulo y sin efecto en caso de que se celebren bajo condiciones que no cumplan con los umbrales señalados.

Además, si se trata de un despido colectivo, éste debe ir precedido de un periodo de consultas con los representantes legales de los trabajadores. La duración de este periodo puede variar según la cantidad de trabajadores que tenga la empresa y no supera en ambos casos los 30 días naturales.

Durante esta consulta se deben abordar temas como el potencial de evitar o reducir despidos colectivos, así como atenuar sus consecuencias mediante medidas sociales, como recolocación, formación o reciclaje profesional.",0.18,0.02,0.11,0.11,0.57829225,0.91
26,¿Con quién se puede concertar un contrato en prácticas?,"con quienes estuvieren en posesión de título universitario o de formación profesional de grado medio o superior o títulos oficialmente reconocidos como equivalentes,","No tengo información específica sobre quién se puede concertar un contrato en prácticas. Sin embargo, puedo decirte que generalmente, los contratos de práctica profesional se pueden celebrar con personas que tengan una titulación o certificado que sea reconocido por las autoridades competentes para la materia. También es posible que se puedan celebrar contratos con personas que no tengan esta titulación, siempre y cuando cumplan con ciertas condiciones o requisitos establecidos en el contrato. Sin embargo, necesitaría más información específica sobre el contexto en el que se está preguntando para poder dar una respuesta más precisa.",0.13,0.0,0.07,0.08,0.55615526,0.86
27,¿Cuáles son las especificidades de un contrato en prácticas? ¿Cuáles son las reglas del contrato en prácticas?,"a) El puesto de trabajo deberá permitir la obtención de la práctica profesional adecuada al nivel de estudios o de formación cursados. 
b) La duración del contrato no podrá ser inferior a seis meses ni exceder de dos años, dentro de cuyos límites los convenios colectivos de ámbito sectorial estatal o, en su defecto, los convenios colectivos sectoriales de ámbito inferior podrán determinar la duración del contrato, atendiendo a las características del sector y de las prácticas a realizar.
c) Ningún trabajador podrá estar contratado en prácticas en la misma o distinta empresa por tiempo superior a dos años en virtud de la misma titulación o certificado de profesionalidad.
d) Salvo lo dispuesto en convenio colectivo, el periodo de prueba no podrá ser superior a un mes para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado medio o de certificado de profesionalidad de nivel 1 o 2, ni a dos meses para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado superior o de certificado de profesionalidad de nivel 3.

e) La retribución del trabajador será la fijada en convenio colectivo para los trabajadores en prácticas, sin que, en su defecto, pueda ser inferior al sesenta o al setenta y cinco por ciento durante el primero o el segundo año de vigencia del contrato, respectivamente, del salario fijado en convenio para un trabajador que desempeñe el mismo o equivalente puesto de trabajo.

f) Si al término del contrato el trabajador continuase en la empresa no podrá concertarse un nuevo periodo de prueba, computándose la duración de las prácticas a efecto de antigüedad en la empresa.
","No sé proporcionar una respuesta específica a esta pregunta, ya que no tengo suficiente información sobre el contrato en prácticas. Sin embargo, puedo ofrecerte una visión general de las especificidades y reglas de los contratos formativos:

Las especificidades de un contrato formativo pueden variar dependiendo del país o región en la que se celebre, pero generalmente incluyen:

* Duración: Los contratos formativos suelen tener una duración determinada, como un plazo de prueba o un período específico.
* Obligaciones formativas: La empresa debe cumplir con ciertas obligaciones formativas, como brindar capacitación y orientación a la persona en formación.
* Estabilidad laboral: Los contratos formativos pueden estar sujetos a ciertas condiciones para garantizar la estabilidad laboral de la persona en formación.

En cuanto a las reglas del contrato formativo, algunas de las reglas generales pueden incluir:

* El contrato se puede concertar durante un plazo determinado.
* La empresa debe cumplir con sus obligaciones formativas y proporcionar una capacitación adecuada a la persona en formación.
* La persona en formación debe demostrar una dedicación y esfuerzo adecuados para obtener la capacitación necesaria.

Es importante destacar que las reglas y especificidades de los contratos formativos pueden variar dependiendo del país o región, y que es importante consultar la legislación local para obtener información precisa.",0.34,0.07,0.16,0.11,0.59337354,0.97
28,¿Qué es un contrato para la formación y el aprendizaje?, tendrá por objeto la cualificación profesional de los trabajadores en un régimen de alternancia de actividad laboral retribuida en una empresa con actividad formativa recibida en el marco del sistema de formación profesional para el empleo o del sistema educativo. ,"Un contrato para la formación y el aprendizaje es un acuerdo formal entre una persona (el ""contratista"") y una entidad (la ""empresa"") que proporciona prácticas profesionales o acciones formativas específicas, como la digitalización, la innovación o la sostenibilidad.

En general, los contratos de formación para la obtención de prácticas profesionales tienen las siguientes normas comunes:

* La acción protectora de la Seguridad Social cubre todas las contingencias protegibles y prestaciones, incluyendo el desempleo y la cobertura del Fondo de Garantía Salarial.
* Las situaciones de incapacidad temporal, nacimiento, adopción, guarda con fines de adopción, acogimiento, riesgo durante el embarazo, riesgo durante la lactancia, violencia de género y interrupción del contrato afectan la duración del contrato.
* El contrato debe formalizarse por escrito de conformidad con lo establecido en las normas legales aplicables.

Si no sabes algo específico sobre un contrato para la formación y el aprendizaje, es posible que no sepa responder.",0.22,0.02,0.12,0.14,0.36369506,0.92
29,¿Cuáles son las reglas por las que se rige el contrato para la formación y el aprendizaje?,"a) Se podrá celebrar con trabajadores mayores de dieciséis y menores de veinticinco años que carezcan de la cualificación profesional reconocida por el sistema de formación profesional para el empleo o del sistema educativo requerida para concertar un contrato en prácticas. 
El límite máximo de edad no será de aplicación cuando el contrato se concierte con personas con discapacidad ni con los colectivos en situación de exclusión social 
b) La duración mínima del contrato será de un año y la máxima de tres. No obstante, mediante convenio colectivo podrán establecerse distintas duraciones del contrato,
En caso de que el contrato se hubiera concertado por una duración inferior a la máxima legal o convencionalmente establecida, podrá prorrogarse mediante acuerdo de las partes, hasta por dos veces, sin que la duración de cada prórroga pueda ser inferior a seis meses y sin que la duración total del contrato pueda exceder de dicha duración máxima.

","La respuesta a la pregunta no se especifica. Sin embargo, puedo proporcionar información general sobre las reglas que rigen los contratos para la formación y el aprendizaje.

En general, los contratos de formación y aprendizaje están regulados por la Ley 7/2007, de 12 de abril, de la Formación Profesional, entre otros textos legales. Estas reglas establecen las condiciones para que un contrato de formación y aprendizaje pueda ser celebrado.

En relación con el punto a), se puede celebrar un contrato formativo sin la cualificación profesional reconocida por las titulaciones o certificados requeridos. Sin embargo, es importante tener en cuenta que esta excepción solo aplica si no hay otro contrato formativo previo en una formación del mismo nivel formativo y sector productivo.

En relación con el punto b), cuando se suscribe un contrato en el marco de certificados de profesionalidad de nivel 1 y 2 o programas públicos o privados de formación en alternancia de empleo-formación, que formen parte del Catálogo de especialidades formativas del Sistema Nacional de Empleo, el contrato solo podrá ser concertado con personas de hasta treinta años.

En relación con el punto c), no se especifica la condición que debe cumplir la actividad desempeñada por la persona trabajadora en la empresa. Es posible que deban cumplir con ciertas características o requisitos específicos, pero no se proporciona información adicional.",0.48,0.09,0.19,0.18,0.55796903,0.97
30,¿Qué se entiende por contrato a tiempo parcial?," cuando se haya acordado la prestación de servicios durante un número de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.
se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. ","Una vez más gracias por la pregunta. ¿Qué significa contrato a tiempo parcial? Se refiere a un contrato laboral que no es a tiempo completo, es decir, donde el trabajador presta servicios durante una cantidad de horas inferiores a la jornada de trabajo normal de un trabajador a tiempo completo comparable.",0.47,0.26,0.27,0.27,0.69176346,0.96
31,¿Durante cuánto tiempo puede concertarse un contrato a tiempo parcial?,"podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita 
excepto en el contrato para la formación y el aprendizaje.","No tengo información específica sobre el plazo de duración de un contrato a tiempo parcial. Sin embargo, según el artículo 12 del texto proporcionado, se establece que el contrato a tiempo parcial debe ser inferior al sesenta por ciento de las horas ordinarias contratadas para evitar que se convierta en un contrato formativo.",0.27,0.05,0.14,0.22,0.4010623,0.97
32,¿Cuándo se entiende que el contrato a tiempo parcial se celebra por tiempo indefinido?,cuando se concierte para realizar trabajos fijos y periódicos dentro del volumen normal de actividad de la empresa.,"La respuesta a la pregunta es que no se entiende cuando exactamente se celebra un contrato a tiempo parcial por tiempo indefinido. Sin embargo, según lo indicado en el texto, el contrato de relevo podrá celebrarse a jornada completa o a tiempo parcial, siempre y cuando la duración de la jornada sea igual a o mayor que la reducción de jornada acordada.",0.14,0.02,0.12,0.12,0.45495018,0.89
33,¿Cuáles son las especificidades de un contrato a tiempo parcial? ¿Cuáles son las reglas del contrato a tiempo parcial?," se deberá formalizar necesariamente por escrito.deberá figurar el número de horas ordinarias de trabajo al día, a la semana, al mes o al año contratadas, así como el modo de su distribución según lo previsto en convenio colectivo.
De no observarse estas exigencias, el contrato se presumirá celebrado a jornada completa, salvo prueba en contrario 
b) Cuando el contrato a tiempo parcial conlleve la ejecución de una jornada diaria inferior a la de los trabajadores a tiempo completo y esta se realice de forma partida, solo será posible efectuar una única interrupción en dicha jornada diaria, 
c) Los trabajadores a tiempo parcial no podrán realizar horas extraordinarias, salvo en los supuestos a los que se refiere el artículo 35.3.
la suma de las horas ordinarias y complementarias, incluidas las previamente pactadas y las voluntarias, no podrá exceder del límite legal del trabajo a tiempo parcial 
se registrará día a día y se totalizará mensualmente, entregando copia al trabajador, junto con el recibo de salarios, del resumen de todas las horas realizadas en cada mes, 
El empresario deberá conservar los resúmenes mensuales de los registros de jornada durante un periodo mínimo de cuatro años.

En caso de incumplimiento de las referidas obligaciones de registro, el contrato se presumirá celebrado a jornada completa, salvo prueba en contrario 
d) Los trabajadores a tiempo parcial tendrán los mismos derechos que los trabajadores a tiempo completo. 
e) La conversión de un trabajo a tiempo completo en un trabajo parcial y viceversa tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo
El trabajador no podrá ser despedido ni sufrir ningún otro tipo de sanción o efecto perjudicial por el hecho de rechazar esta conversión, ","Una pregunta interesante!

A continuación, te presento las especificidades y reglas del contrato a tiempo parcial:

**Especificidades:**

* El contrato se considera a tiempo parcial cuando se acuerda la prestación de servicios durante un número inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.
* Las empresas pueden formalizar contratos por circunstancias de la producción para atender situaciones ocasionales, previsibles y con una duración reducida.

**Reglas:**

1. El contrato se entenderá celebrado a tiempo parcial cuando se acordara la prestación de servicios durante un número de horas inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.
2. La duración máxima del contrato a tiempo parcial no puede exceder dicha duración máxima.
3. Las empresas solo pueden utilizar este contrato un máximo de 90 días en el año natural, independientemente de las personas trabajadoras necesarias para atender cada día.
4. Estos 90 días no pueden ser utilizados de manera continuada.
5. Las empresas deben trasladar a la representación legal de las personas trabajadoras una previsión anual de uso de estos contratos en el último trimestre del año.

En resumen, el contrato a tiempo parcial tiene como objetivo atender situaciones ocasionales y previsibles con una duración reducida, pero debe ser utilizado de manera responsable y sin exceder la duración máxima establecida.",0.46,0.14,0.21,0.15,0.64654195,0.98
34,¿Qué se entiende por horas complementarias?,Se consideran horas complementarias las realizadas como adición a las horas ordinarias pactadas en el contrato a tiempo parcial.,"No sé que se entiende por ""horas complementarias"".",0.21,0.08,0.21,0.0,0.4976257,0.9
