,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
10,¿Qué valor tienen los usos y costumbres?,"usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa.","Los usos y costumbres tienen un valor importante en la regulación de los conflictos entre normas laborales estatales y pactadas. Según el texto, se aplican solo en defecto de disposiciones legales, convencionales o contractuales, a menos que cuenten con una recepción o remisión expresa.

En otras palabras, los usos y costumbres son un mecanismo para resolver conflictos entre normas laborales en caso de ausencia de disposiciones claras y específicas. Sin embargo, no se pueden considerar como fuentes legales primarias y deben ser interpretadas dentro del marco de las disposiciones legales y convencionales existentes.

En resumen, los usos y costumbres tienen un valor secundario en la regulación de los derechos laborales, pero son una herramienta importante para resolver conflictos en ausencia de disposiciones claras.",0.34,0.25,0.29,0.31,0.7568283,0.91
11,¿Son renunciables los derechos laborales reconocidos? ¿Se puede disponer de los derechos del trabajador? ¿Se puede compensar económicamente los derechos de los trabajadores? ¿Podrán renunciar de alguno de sus derechos los trabajadores?," trabajadores no podrán disponer válidamente 
derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo.","Basándome en los artículos proporcionados, puedo responder a tus preguntas de la siguiente manera:

1. ¿Son renunciables los derechos laborales reconocidos? No, según el artículo 5, los trabajadores no pueden disponer válidamente, antes o después de su adquisición, de los derechos que tengan reconocidos por disposiciones legales de derecho necesario.

2. ¿Se puede disponer de los derechos del trabajador? No, según el artículo 5, los trabajadores no pueden disponer válidamente de sus derechos laborales.

3. ¿Se puede compensar económicamente los derechos de los trabajadores? No hay información específica en los artículos proporcionados sobre la posibilidad o imposibilidad de compensar económicamente los derechos de los trabajadores. Sin embargo, es posible que deban tratarse de casos de derecho laboral específico.

4. ¿Podrán renunciar de alguno de sus derechos los trabajadores? No, según el artículo 5, los trabajadores no pueden disponer válidamente de sus derechos laborales.

Espero que esta información te sea útil.",0.25,0.18,0.22,0.17,0.70409244,0.93
12,¿Cuáles son los derechos laborales básicos? ¿Cuáles son los derechos básicos del trabajador?,"a) Trabajo y libre elección de profesión u oficio.
b) Libre sindicación.
c) Negociación colectiva.
d) Adopción de medidas de conflicto colectivo.
e) Huelga.
f) Reunión.
g) Información, consulta y participación en la empresa.
","Los derechos laborales básicos incluyen:

*   Derecho a la vida y seguridad en el trabajo
*   Derecho a un salario justo y equitativo
*   Derecho a un entorno de trabajo saludable y seguro
*   Derecho a descansos y vacaciones regulares
*   Derecho a la protección contra la discriminación y el acoso laboral

Estos derechos son fundamentales para garantizar la dignidad y el bienestar de los trabajadores.",0.21,0.0,0.15,0.08,0.31314382,0.86
13,¿Cuáles son los derechos laborales del trabajador en relación con el trabajo? ¿Qué derechos laborales son reclamables por el trabajador?,"
a) A la ocupación efectiva.
b) A la promoción y formación profesional en el trabajo, i
c) A no ser discriminados directa o indirectamente para el empleo, 
d) A su integridad física y a una adecuada política de prevención de riesgos laborales.
e) Al respeto de su intimidad y a la consideración debida a su dignidad, 
f) A la percepción puntual de la remuneración pactada o legalmente establecida.
g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo.
h) A cuantos otros se deriven específicamente del contrato de trabajo.
","No sé cuáles son los derechos laborales del trabajador en relación con el trabajo. Sin embargo, puedo proporcionarte información general sobre los derechos laborales que suelen ser reclamables por el trabajador.

En general, los derechos laborales incluyen:

*   El derecho a trabajar en un entorno seguro y saludable.
*   El derecho a recibir un salario justo y equitativo.
*   El derecho a tomar descansos regulares y disfrutar de un tiempo libre adecuado.
*   El derecho a la privacidad y respeto a la vida personal fuera del lugar de trabajo.
*   El derecho a la protección contra la discriminación y el acoso laboral.
*   El derecho a la información y transparencia sobre las condiciones laborales, incluyendo salarios, beneficios y políticas de empleo.

Es importante destacar que los derechos laborales pueden variar según la legislación local y la naturaleza del trabajo.",0.33,0.07,0.19,0.1,0.50359255,0.95
14, ¿Cuáles son los deberes laborales de los trabajadores? ¿Cuáles son las obligaciones de los trabajadores? ¿Qué es exigible por parte del trabajador? ,"a) Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
b) Observar las medidas de prevención de riesgos laborales que se adopten.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se deriven, en su caso, de los respectivos contratos de trabajo.
","Según el artículo 5 de la ley, los deberes laborales de un trabajador son:

1. Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
2. Observar las medidas de prevención de riesgos laborales que se adopten.
3. Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
4. No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
5. Contribuir a la mejora de la productividad.

Además, se derivan obligaciones específicas del contrato de trabajo, que incluyen:

- Los deberes y responsabilidades individuales derivadas del contrato de trabajo.
- Las obligaciones profesionales con los clientes, colegas y terceros.
- La observancia de las normas y regulaciones laborales.",0.7,0.62,0.7,0.46,0.6446428,0.98
15,¿Cuál es la edad mínima para trabajar?,Se prohíbe la admisión al trabajo a los menores de dieciséis años.,"La edad mínima para trabajar no se establece explícitamente en la disposición adicional décima. Sin embargo, se menciona que los convenios colectivos pueden establecer cláusulas que posibiliten la extinción del contrato de trabajo por el cumplimiento por el trabajador de una edad igual o superior a 68 años, siempre que cumplan ciertos requisitos.",0.24,0.03,0.18,0.15,0.4064698,0.94
16,¿Qué restricciones tienen los mayores de 16 años y menores de 18 años?,"2. Los trabajadores menores de dieciocho años no podrán realizar trabajos nocturnos ni aquellas actividades o puestos de trabajo respecto a los que se establezcan limitaciones a su contratación 
3. Se prohíbe realizar horas extraordinarias a los menores de dieciocho años.
","No puedo proporcionar asesoramiento legale. Si necesitas ayuda con algo más, no dudes en preguntar.",0.03,0.0,0.03,0.04,0.25984213,0.94
17,¿Pueden los menores de 16 años intervenir en espectáculos públicos?,"solo se autorizará en casos excepcionales por la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana.
deberá constar por escrito ","Según el artículo 7, los menores de 16 años no pueden intervenir en espectáculos públicos como trabajo, pero en casos excepcionales, con permiso por la autoridad laboral y siempre que no suponga peligro para su salud ni para su formación profesional y humana. El permiso debe constar por escrito y ser para actos determinados.",0.58,0.5,0.58,0.48,0.6632262,0.98
18,¿Quién tiene capacidad para contratar la prestación de su trabajo?,"a) Quienes tengan plena capacidad de obrar 
b) Los menores de dieciocho y mayores de dieciséis años, que vivan de forma independiente, con consentimiento de sus padres o tutores, o con autorización de la persona o institución que les tenga a su cargo.
c) Los extranjeros, de acuerdo con lo dispuesto en la legislación específica sobre la materia.
","Podrán contratar la prestación de su trabajo:

* Quienes tengan plena capacidad de obrar conforme a lo dispuesto en el Código Civil (Art. 7.a)
* Los menores de dieciocho y mayores de dieciséis años, que vivan de forma independiente, con consentimiento de sus padres o tutores, o con autorización de la persona o institución que les tenga a su cargo (Art. 7.b)
* Los extranjeros, de acuerdo con lo dispuesto en la legislación específica sobre la materia (Art. 7.c)

No se indica quién no puede contratar la prestación de su trabajo.",0.77,0.72,0.73,0.52,0.696583,0.98
19,¿Puede ser verbal un contrato de trabajo?, El contrato de trabajo se podrá celebrar por escrito o de palabra.  ,"No sabes si el contrato puede ser verbal. No hay información sobre si el contrato de trabajo puede ser verbal o no, ni se establecen requisitos específicos para su celebración.",0.27,0.14,0.22,0.24,0.6260387,0.95
20,¿Qué contratos tienen que estar por escrito obligatoriamente?,"cuando así lo exija una disposición legal y, en todo caso, los de prácticas y para la formación y el aprendizaje, los contratos a tiempo parcial, fijos-discontinuos y de relevo, los contratos para la realización de una obra o servicio determinado, los de los trabajadores que trabajen a distancia y los contratados en España al servicio de empresas españolas en el extranjero. 
los contratos por tiempo determinado cuya duración sea superior a cuatro semanas. De no observarse tal exigencia, el contrato se presumirá celebrado por tiempo indefinido y a jornada completa, salvo prueba en contrario ","La respuesta es:

Los contratos de trabajo que deben estar por escrito obligatoriamente son:

* Los contratos de práctica y formación
* Los contratos a tiempo parcial, fijos-discontinuos y de relevo
* Los contratos para la realización de una obra o servicio determinado
* Los contratos por tiempo determinado cuya duración sea superior a cuatro semanas

Estos contratos también deben estar firmados en ausencia del trabajador cuando su naturaleza temporal o el carácter a tiempo parcial de los servicios no lo permitan, y siempre que se haya acordado la formalización por escrito.",0.62,0.4,0.46,0.32,0.6572359,0.98
21,¿Debe comunicar el empresario la contratación de un trabajador?,"El empresario está obligado a comunicar a la oficina pública de empleo, en el plazo de los diez días siguientes a su concertación ","La respuesta a la pregunta ""¿Debe comunicar el empresario la contratación de un trabajador?"" depende del contexto específico del contrato y las condiciones establecidas.

En general, según los artículos proporcionados, si el empresario hubiese celebrado un contrato con un grupo de trabajadores considerado en su totalidad, no tendrá frente a cada uno de sus miembros los derechos y deberes que como tal le competen. En este caso, el jefe del grupo ostentará la representación de los que lo integren, respondiendo de las obligaciones inherentes a dicha representación.

Sin embargo, si un trabajador asocia a su trabajo un auxiliar o ayudante y el empresario de aquel lo será también de este, según lo pactado por escrito, entonces sí debe comunicar la contratación de este último.",0.19,0.05,0.14,0.12,0.5162257,0.95
22,¿Es obligatorio entregar una copia básica de los contratos a los trabajadores?,"El empresario entregará a la representación legal de los trabajadores una copia básica de todos los contratos que deban celebrarse por escrito, a excepción de los contratos de relación laboral especial de alta dirección",No sabes la respuesta. No se menciona explícitamente si es obligatorio entregar una copia básica de los contratos a los trabajadores en función de su naturaleza temporal o el carácter a tiempo parcial de los servicios.,0.46,0.23,0.3,0.26,0.49788976,0.95
23,¿Cuáles son los efectos de la nulidad de un contrato de trabajo?,"Si resultase nula solo una parte del contrato de trabajo, este permanecerá válido en lo restante, y se entenderá completado con los preceptos jurídicos adecuados conforme a lo dispuesto en el artículo 3.1.
En caso de que el contrato resultase nulo, el trabajador podrá exigir, por el trabajo que ya hubiese prestado, la remuneración consiguiente a un contrato válido.
",No tengo información específica sobre los efectos de la nulidad de un contrato de trabajo. ¿Puedes proporcionar más contexto o detalles?,0.18,0.07,0.11,0.12,0.45795223,0.95
24,¿Qué obligaciones genera al empresario un trabajo en común?,"conservará respecto de cada uno, individualmente, sus derechos y deberes.","Un trabajo en común genera obligaciones al empresario para asegurar que se pague la misma retribución por un trabajo de igual valor, sin discriminación por razón de sexo. Además, el empresario debe llevar un registro con los valores medios de los salarios y complementos salariales de su plantilla desagregados por género.",0.06,0.0,0.06,0.07,0.3219624,0.92
25,¿Qué efectos despliega un contrato con un grupo de trabajadores?,"no tendrá frente a cada uno de sus miembros los derechos y deberes que como tal le competen. El jefe del grupo ostentará la representación de los que lo integren, respondiendo de las obligaciones inherentes a dicha representación.","Un contrato con un grupo de trabajadores puede tener varios efectos:

*   El empresario no tendrá frente a cada uno de sus miembros los derechos y deberes que le competen, ya que el jefe del grupo ostentará la representación de los trabajadores.
*   Si un trabajador asocia a su trabajo un auxiliar o ayudante, el empresario será también responsable de este último.",0.59,0.46,0.55,0.44,0.61109203,0.97
26,¿Con quién se puede concertar un contrato en prácticas?,"con quienes estuvieren en posesión de título universitario o de formación profesional de grado medio o superior o títulos oficialmente reconocidos como equivalentes,","Con acuerdo a la legislación estipulada, un contrato de prácticas se puede concertar con cualquiera de los siguientes:

* Los titulares de cualquier profesión o oficio.
* Las personas que sean capacitadas en algún centro de formación profesional y hayan cumplido los requisitos establecidos para su capacitación.
* La persona sustituta, siempre y cuando la reducción se ampare en causas legalesmente establecidas o reguladas en el convenio colectivo.",0.22,0.06,0.18,0.13,0.27059305,0.92
27,¿Cuáles son las especificidades de un contrato en prácticas? ¿Cuáles son las reglas del contrato en prácticas?,"a) El puesto de trabajo deberá permitir la obtención de la práctica profesional adecuada al nivel de estudios o de formación cursados. 
b) La duración del contrato no podrá ser inferior a seis meses ni exceder de dos años, dentro de cuyos límites los convenios colectivos de ámbito sectorial estatal o, en su defecto, los convenios colectivos sectoriales de ámbito inferior podrán determinar la duración del contrato, atendiendo a las características del sector y de las prácticas a realizar.
c) Ningún trabajador podrá estar contratado en prácticas en la misma o distinta empresa por tiempo superior a dos años en virtud de la misma titulación o certificado de profesionalidad.
d) Salvo lo dispuesto en convenio colectivo, el periodo de prueba no podrá ser superior a un mes para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado medio o de certificado de profesionalidad de nivel 1 o 2, ni a dos meses para los contratos en prácticas celebrados con trabajadores que estén en posesión de título de grado superior o de certificado de profesionalidad de nivel 3.

e) La retribución del trabajador será la fijada en convenio colectivo para los trabajadores en prácticas, sin que, en su defecto, pueda ser inferior al sesenta o al setenta y cinco por ciento durante el primero o el segundo año de vigencia del contrato, respectivamente, del salario fijado en convenio para un trabajador que desempeñe el mismo o equivalente puesto de trabajo.

f) Si al término del contrato el trabajador continuase en la empresa no podrá concertarse un nuevo periodo de prueba, computándose la duración de las prácticas a efecto de antigüedad en la empresa.
","Basándome en el contexto proporcionado, puedo decir que las especificidades y reglas del contrato formativo están relacionadas con la jornada laboral. A continuación, se detallan algunas de las disposiciones relevantes:

a) Si al término del contrato la persona continúe en la empresa, no podrá concertarse un nuevo periodo de prueba.
b) Los contratos formativos celebrados en fraude de ley o aquellos respecto de los cuales la empresa incumpla sus obligaciones formativas se entenderán concertados como contratos indefinidos de carácter ordinario.

No tengo información sobre requisitos específicos que deben cumplirse para la celebración de contratos formativos, como el número de contratos por tamaño de centro de trabajo, las personas en formación por tutor o tutora, o las exigencias en relación con la estabilidad de la plantilla. Estas disposiciones se pueden establecer mediante reglamento, previa consulta con las administraciones competentes en la formación objeto de realización mediante contratos formativos.

Espero que esta información sea útil. Si tienes alguna otra pregunta, no dudes en preguntar.",0.36,0.11,0.17,0.13,0.5415331,0.96
28,¿Qué es un contrato para la formación y el aprendizaje?, tendrá por objeto la cualificación profesional de los trabajadores en un régimen de alternancia de actividad laboral retribuida en una empresa con actividad formativa recibida en el marco del sistema de formación profesional para el empleo o del sistema educativo. ,"Un contrato para la formación y el aprendizaje es un acuerdo entre dos partes, una como dirección de otro y el que lo recibe, a cambio de una retribución. Este tipo de contrato requiere constar por escrito y se aplica a las prácticas, formaciones y aprendizajes en general.",0.29,0.02,0.15,0.2,0.50757134,0.89
29,¿Cuáles son las reglas por las que se rige el contrato para la formación y el aprendizaje?,"a) Se podrá celebrar con trabajadores mayores de dieciséis y menores de veinticinco años que carezcan de la cualificación profesional reconocida por el sistema de formación profesional para el empleo o del sistema educativo requerida para concertar un contrato en prácticas. 
El límite máximo de edad no será de aplicación cuando el contrato se concierte con personas con discapacidad ni con los colectivos en situación de exclusión social 
b) La duración mínima del contrato será de un año y la máxima de tres. No obstante, mediante convenio colectivo podrán establecerse distintas duraciones del contrato,
En caso de que el contrato se hubiera concertado por una duración inferior a la máxima legal o convencionalmente establecida, podrá prorrogarse mediante acuerdo de las partes, hasta por dos veces, sin que la duración de cada prórroga pueda ser inferior a seis meses y sin que la duración total del contrato pueda exceder de dicha duración máxima.

","No sé la respuesta exacta, pero puedo ofrecerte una explicación general basada en el contexto proporcionado.

Según las disposiciones transitorias mencionadas, los contratos celebrados antes de la entrada en vigor de esta ley seguirán siendo de aplicación hasta que se produzcan cambios legales o reglamentarios. Sin embargo, no tengo información específica sobre las reglas que rigen los contratos para la formación y el aprendizaje.

Es posible que las reglas específicas para estos contratos estén establecidas en el artículo 11.2 de una ley o reglamento específico, pero sin más información, no puedo proporcionar una respuesta precisa.",0.33,0.04,0.18,0.15,0.58731145,0.97
30,¿Qué se entiende por contrato a tiempo parcial?," cuando se haya acordado la prestación de servicios durante un número de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.
se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. ","El contrato a tiempo parcial es una modalidad de contratación laboral en la que el trabajador asiste al centro de trabajo durante menos horas que un trabajador a tiempo completo, y se regirá por las siguientes reglas:

* Se formalizará necesariamente por escrito.
* Debe figurar el número de horas ordinarias de trabajo en el contrato.
* Puede ser concertado por tiempo indefinido o por duración determinada, siempre que se permita la utilización de esta modalidad de contratación.",0.43,0.15,0.24,0.25,0.62750447,0.97
31,¿Durante cuánto tiempo puede concertarse un contrato a tiempo parcial?,"podrá concertarse por tiempo indefinido o por duración determinada en los supuestos en los que legalmente se permita 
excepto en el contrato para la formación y el aprendizaje.","No sé cuánto tiempo puede concertarse un contrato a tiempo parcial. Sin embargo, según lo dispuesto en el artículo 8.2, el contrato se formalizará necesariamente por escrito y deberá figurar el número de horas ordinarias. También es posible que se pueda concertar por tiempo indefinido o duración determinada, siempre que sea legalmente permitido.",0.4,0.16,0.22,0.32,0.5994461,0.96
32,¿Cuándo se entiende que el contrato a tiempo parcial se celebra por tiempo indefinido?,cuando se concierte para realizar trabajos fijos y periódicos dentro del volumen normal de actividad de la empresa.,"No tengo información específica sobre cuándo se entiende que un contrato a tiempo parcial se celebra por tiempo indefinido. Sin embargo, según lo dispuesto en el artículo 12, el contrato de trabajo se entenderá celebrado a tiempo parcial cuando se haya acordado la prestación de servicios durante un número de horas inferior a la jornada de trabajo de un trabajador a tiempo completo comparable. En este sentido, no es necesario que el contrato sea por tiempo indefinido para ser considerado a tiempo parcial, pero sí debe cumplir con el requisito de no superar la duración máxima establecida en el contrato formativo.",0.11,0.02,0.09,0.08,0.50775665,0.89
33,¿Cuáles son las especificidades de un contrato a tiempo parcial? ¿Cuáles son las reglas del contrato a tiempo parcial?," se deberá formalizar necesariamente por escrito.deberá figurar el número de horas ordinarias de trabajo al día, a la semana, al mes o al año contratadas, así como el modo de su distribución según lo previsto en convenio colectivo.
De no observarse estas exigencias, el contrato se presumirá celebrado a jornada completa, salvo prueba en contrario 
b) Cuando el contrato a tiempo parcial conlleve la ejecución de una jornada diaria inferior a la de los trabajadores a tiempo completo y esta se realice de forma partida, solo será posible efectuar una única interrupción en dicha jornada diaria, 
c) Los trabajadores a tiempo parcial no podrán realizar horas extraordinarias, salvo en los supuestos a los que se refiere el artículo 35.3.
la suma de las horas ordinarias y complementarias, incluidas las previamente pactadas y las voluntarias, no podrá exceder del límite legal del trabajo a tiempo parcial 
se registrará día a día y se totalizará mensualmente, entregando copia al trabajador, junto con el recibo de salarios, del resumen de todas las horas realizadas en cada mes, 
El empresario deberá conservar los resúmenes mensuales de los registros de jornada durante un periodo mínimo de cuatro años.

En caso de incumplimiento de las referidas obligaciones de registro, el contrato se presumirá celebrado a jornada completa, salvo prueba en contrario 
d) Los trabajadores a tiempo parcial tendrán los mismos derechos que los trabajadores a tiempo completo. 
e) La conversión de un trabajo a tiempo completo en un trabajo parcial y viceversa tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo
El trabajador no podrá ser despedido ni sufrir ningún otro tipo de sanción o efecto perjudicial por el hecho de rechazar esta conversión, ","Un contrato a tiempo parcial es un acuerdo laboral en el que se acuerda la prestación de servicios durante un número de horas al día, a la semana, al mes o al año inferior a la jornada de trabajo de un trabajador a tiempo completo comparable.

Algunas especificidades del contrato a tiempo parcial son:

* El contrato se celebrará a tiempo parcial cuando se acuerde la prestación de servicios durante un número inferior a la jornada de trabajo de un trabajador a tiempo completo.
* Las empresas pueden solicitar información sobre si las personas a las que pretenden contratar han estado previamente contratadas bajo dicha modalidad, mediante una solicitud escrita al servicio público de empleo competente.
* La información solicitada tendrá valor liberatorio a efectos de no exceder la duración máxima del contrato.

No tengo información adicional sobre las reglas específicas del contrato formativo en contratos por tiempo indefinido.",0.41,0.16,0.22,0.17,0.652685,0.98
34,¿Qué se entiende por horas complementarias?,Se consideran horas complementarias las realizadas como adición a las horas ordinarias pactadas en el contrato a tiempo parcial.,"No sabemos qué es exactamente por ""horas complementarias"" en el contexto del derecho laboral español. La pregunta pide una explicación escrita, pero la respuesta no está claramente definida en el texto proporcionado. Si se refiere a horas adicionales o temporadas extras fuera de las jornadas regulares, es posible que deban cumplir ciertos requisitos y límites como lo establece el artículo 35 sobre horas extraordinarias. Sin embargo, una definición precisa no se encuentra aquí.",0.2,0.04,0.12,0.13,0.5236224,0.95
